char,statusCode,customResult,exception
208,,One or more errors occurred. (Request headers must contain only ASCII characters.)
209,,One or more errors occurred. (Request headers must contain only ASCII characters.)
210,,One or more errors occurred. (Request headers must contain only ASCII characters.)
211,,One or more errors occurred. (Request headers must contain only ASCII characters.)
212,,One or more errors occurred. (Request headers must contain only ASCII characters.)
213,,One or more errors occurred. (Request headers must contain only ASCII characters.)
214,,One or more errors occurred. (Request headers must contain only ASCII characters.)
215,,One or more errors occurred. (Request headers must contain only ASCII characters.)
216,,One or more errors occurred. (Request headers must contain only ASCII characters.)
217,,One or more errors occurred. (Request headers must contain only ASCII characters.)
218,,One or more errors occurred. (Request headers must contain only ASCII characters.)
219,,One or more errors occurred. (Request headers must contain only ASCII characters.)
220,,One or more errors occurred. (Request headers must contain only ASCII characters.)
221,,One or more errors occurred. (Request headers must contain only ASCII characters.)
222,,One or more errors occurred. (Request headers must contain only ASCII characters.)
223,,One or more errors occurred. (Request headers must contain only ASCII characters.)
224,,One or more errors occurred. (Request headers must contain only ASCII characters.)
225,,One or more errors occurred. (Request headers must contain only ASCII characters.)
226,,One or more errors occurred. (Request headers must contain only ASCII characters.)
227,,One or more errors occurred. (Request headers must contain only ASCII characters.)
228,,One or more errors occurred. (Request headers must contain only ASCII characters.)
229,,One or more errors occurred. (Request headers must contain only ASCII characters.)
230,,One or more errors occurred. (Request headers must contain only ASCII characters.)
231,,One or more errors occurred. (Request headers must contain only ASCII characters.)
232,,One or more errors occurred. (Request headers must contain only ASCII characters.)
233,,One or more errors occurred. (Request headers must contain only ASCII characters.)
234,,One or more errors occurred. (Request headers must contain only ASCII characters.)
235,,One or more errors occurred. (Request headers must contain only ASCII characters.)
236,,One or more errors occurred. (Request headers must contain only ASCII characters.)
237,,One or more errors occurred. (Request headers must contain only ASCII characters.)
238,,One or more errors occurred. (Request headers must contain only ASCII characters.)
239,,One or more errors occurred. (Request headers must contain only ASCII characters.)
240,,One or more errors occurred. (Request headers must contain only ASCII characters.)
241,,One or more errors occurred. (Request headers must contain only ASCII characters.)
242,,One or more errors occurred. (Request headers must contain only ASCII characters.)
243,,One or more errors occurred. (Request headers must contain only ASCII characters.)
244,,One or more errors occurred. (Request headers must contain only ASCII characters.)
245,,One or more errors occurred. (Request headers must contain only ASCII characters.)
246,,One or more errors occurred. (Request headers must contain only ASCII characters.)
247,,One or more errors occurred. (Request headers must contain only ASCII characters.)
248,,One or more errors occurred. (Request headers must contain only ASCII characters.)
249,,One or more errors occurred. (Request headers must contain only ASCII characters.)
250,,One or more errors occurred. (Request headers must contain only ASCII characters.)
251,,One or more errors occurred. (Request headers must contain only ASCII characters.)
252,,One or more errors occurred. (Request headers must contain only ASCII characters.)
253,,One or more errors occurred. (Request headers must contain only ASCII characters.)
254,,One or more errors occurred. (Request headers must contain only ASCII characters.)
255,,One or more errors occurred. (Request headers must contain only ASCII characters.)
